NOP: 45
NINT: 14
0 137 2
137 158 3
158 335 4
335 555 5
555 614 6
614 815 7
815 824 8
824 954 7
954 1055 6
1055 1267 5
1267 1289 4
1289 1320 3
1320 1362 2
1362 300000 1
1 2 2
2 83 83
3 53 54
4 22 58
5 4 76
6 84 84
7 58 120
8 82 93
9 67 91
10 27 151
11 79 234
12 1 3
13 28 208
14 54 265
15 13 22
16 100 164
17 19 224
18 31 71
19 2 73
20 61 251
21 97 293
22 5 402
23 18 47
24 12 220
25 77 406
26 90 145
27 1 189
28 70 477
29 22 332
30 82 189
31 71 498
32 13 692
33 76 443
34 11 183
35 17 512
36 44 669
37 54 605
38 64 384
39 30 821
40 99 778
41 31 581
42 56 835
43 12 614
44 46 387
45 43 191
